coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=957969021), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1734, 638])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512459, nanosec=990977502), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1728, 629])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=23968929), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1718, 649])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=56968882), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1713, 631])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=122937078), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1700, 636])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=155970499), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1694, 644])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=221996221), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1679, 638])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=255006828), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1674, 626])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=320985290), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1658, 644])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=354029757), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1652, 633])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=420049872), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1640, 619])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=453077060), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1634, 622])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=486083830), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1625, 628])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=519074751), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1620, 609])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=552066671), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1612, 624])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=585110770), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1608, 634])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=618085667), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1601, 610])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=651083752), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1593, 617])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=684140782), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1588, 623])
coordinate.msg.ArrayInt16(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1717512460, nanosec=717118523), frame_id='inspire_actuator_id1'), name=['postion', 'force'], data=[1580, 621])
