header.stamp,header.frame_id,cr7_pos,cr7_force,cr7_vel,topic
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=170740750)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=180865174)",,[-0.00226342 -0.61554431  0.37543818  2.23402633  0.59449821  0.86530716],[0. 0. 0. 0. 0. 0.],"[-3.08860652e-05  6.66047128e-06 -7.91177748e-06 -1.10827489e-09
  1.45919702e-08 -5.58250943e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=180915436)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=191058812)",,[-0.00226342 -0.61554431  0.37543818  2.23402623  0.59449802  0.86530698],[0. 0. 0. 0. 0. 0.],"[-7.55623444e-06  5.63643526e-06 -6.37163222e-06  1.81031716e-08
 -1.14888435e-08 -2.70207663e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=191099904)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=201232080)",,[-0.00226369 -0.61554437  0.37543827  2.23402602  0.59449808  0.86530659],[0. 0. 0. 0. 0. 0.],"[-3.77549908e-05 -3.87670158e-06  5.39298705e-06 -6.61681881e-10
 -2.84966405e-08 -6.07479872e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=201256461)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=211376045)",,[-0.00226372 -0.61554439  0.37543827  2.23402614  0.59449839  0.86530658],[0. 0. 0. 0. 0. 0.],"[-5.57921915e-07 -5.37646561e-06  4.47453431e-06 -2.79689724e-08
  2.33491282e-08  1.07110587e-08]",xmate_state
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=211402896)",,[-0.00226456 -0.61554422  0.37543763  2.23402604  0.59449751  0.86530448],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],xmate_target_pos
"builtin_interfaces.msg.Time(sec=1768977997, nanosec=221519521)",,[-0.00226386 -0.61554431  0.37543818  2.23402613  0.59449783  0.86530609],[0. 0. 0. 0. 0. 0.],"[-1.38783391e-05  7.52869540e-06  2.79250380e-06  2.35624141e-08
 -4.30209671e-08 -5.11157088e-08]",xmate_state
